อาทิตย์	aathīt	N	week; sun
อัน	an	RPRN	which
อันดับ	andǎp	N	rank
อังคาร	angkhaan	NE	Mars
อังกฤษ	angkrǐt	A	English
เป็น	bpe'n	VI	be
ชื่อ	chǜü	N	name
ดาว	daaw	N	star; spot
ดาวอังคาร	daaw angkhaan	NE	Mars (planet)
ดาวเคราะห์	daaw khrāo'	N	planet
ดาวพุธ	daaw phūt	NE	Mercury (planet)
ได้	dàay	VT	receive
จาก	djǎak	PRP	from
เจ้า	djào	SFX	[honorable]
ตาม	dtaam	PRP	according to
ดวง	duang	N	ball
ดวงอาทิตย์	duang aathīt	NE	Sun
แห่ง	hǍAng	PRP	of
ของ	khÓOng	PRP	of
เคราะห์	khrāo'	N	luck, fortune
ลำดับ	lamdǎp	N	sequence
ลำดับที่สี่	lamdǎp thìi sǐi	A	fourth in sequence
เล็ก	lē'k	A	small
เล็กที่สุด	lē'k thìisǔt	A	smallest
ใน	nai	PRP	in
ภาษา	phaasáa	N	language
ภาษาอังกฤษ	phaasáa angkrǐt	NE	English (language)
พุธ	phūt	NE	Mercury
ระบบ	rābǒp	N	system
ระบบสุริยะ	rābǒp sǔrīyā'	N	solar system
โรมัน	rooman	NE	Roman(s)
รอง	rOOng	A	secondary
รองจาก	rOOng djǎak	PRP	secondary to
สี่	sǐi	NUM	four
สงคราม	sóngkhraam	N	war
สอง	sÓOng	NUM	two
สุริยะ	sǔrīyā'	A	solar
เทพ	thèep	N	deity, angel
เทพเจ้า	thèepphādjào	N	god
ที่	thìi	N	place
ที่สี่	thìi sǐi	A	fourth
ที่สอง	thìi sÓOng	A	second
ที่สุด	thìisǔt	A	most